API Number,Operator,Lease Name,Well Number,County,District,Well Type,Status,Permit Date,Completion Date,Formation,Total Depth,Lateral Length,IP Oil (bbl/day),IP Gas (mcf/day),Total Oil (12mo),Total Gas (12mo),Ownership Count,Lease Count,Has Frac Data
42-221-42524-21,"SM Energy","Karnes Trough",25H,HOWARD,08,Oil & Gas,Producing,,,,,,,,24682,111752,0,0,No
42-303-78708-30,"Diamondback Energy","Bass Ranch",17,MARTIN,08,Oil & Gas,Producing,,,,,,,,24641,36008,0,0,No
42-475-83707-71,"Diamondback Energy","Wolfcamp Ranch",22,WARD,08,Oil & Gas,Producing,,,,,,,,24489,77199,0,2,No
42-269-86741-60,"EOG Resources","Avalon Shale",24,LOVING,08,Oil,Producing,,,,,,,,24272,85893,1,0,No
42-303-60647-25,"Mewbourne Oil Company","Howard Draw",25H,MARTIN,08,Oil & Gas,Producing,,,,,,,,23875,21332,0,1,No
42-353-77669-57,"Centennial Resource Development","Clearfork Unit",31H,PECOS,08,Oil,Producing,,,,,,,,23748,50916,0,1,No
42-269-58096-22,"Apache Corporation","Karnes Trough",41H,LOVING,08,Oil,Producing,,,,,,,,23736,92285,0,0,No
42-353-91134-72,"ExxonMobil","Yates Pool",20,PECOS,08,Oil,Producing,,,,,,,,23623,66897,0,0,No
42-371-70527-29,"SM Energy","Section 12",26,REEVES,08,Oil & Gas,Producing,,,,,,,,23286,79592,2,0,No
42-130-49466-18,"Callon Petroleum","South Texas Unit",33,ECTOR,08,Oil,Producing,,,,,,,,22909,39348,0,0,No
42-475-43420-63,"Ovintiv","Block 42",4H,WARD,08,Oil,Producing,,,,,,,,22658,99821,0,0,No
42-269-26233-42,"Ovintiv","Mabee Ranch",39H,LOVING,08,Oil,Producing,,,,,,,,22590,39114,1,0,No
42-269-52918-00,"SM Energy","Bone Spring Unit",48H,LOVING,08,Oil & Gas,Producing,,,,,,,,22354,29797,1,0,No
42-221-45379-47,"Apache Corporation","King Ranch Unit",28,HOWARD,08,Oil,Producing,,,,,,,,22267,98966,2,1,No
42-475-62021-22,"Endeavor Energy Resources","South Texas Unit",37,WARD,08,Oil,Producing,,,,,,,,21941,41918,0,0,No
42-475-18906-20,"ExxonMobil","Avalon Shale",42,WARD,08,Oil,Producing,,,,,,,,21880,88597,1,0,No
42-221-23101-64,"Occidental Petroleum","Loving County Ranch",15H,HOWARD,08,Oil & Gas,Producing,,,,,,,,21843,92289,1,1,No
42-269-68422-63,"ConocoPhillips","McElroy Ranch",29H,LOVING,08,Oil,Producing,,,,,,,,21789,73354,1,1,No
42-130-74439-15,"Chevron USA","South Texas Unit",49H,ECTOR,08,Oil,Producing,,,,,,,,21777,40719,0,1,No
42-130-82740-13,"CrownQuest Operating","Avalon Shale",22,ECTOR,08,Oil,Producing,,,,,,,,21649,66471,0,0,No
42-303-86494-81,"Endeavor Energy Resources","Big Lake",30H,MARTIN,08,Oil,Producing,,,,,,,,21639,111224,0,0,No
42-269-74405-05,"Ovintiv","Block 42",39,LOVING,08,Oil & Gas,Producing,,,,,,,,21601,112787,0,0,No
42-353-26427-16,"Devon Energy","Spraberry Trend",13H,PECOS,08,Oil & Gas,Producing,,,,,,,,21580,103958,0,0,No
42-303-89158-31,"EOG Resources","King Ranch Unit",22,MARTIN,08,Oil & Gas,Producing,,,,,,,,21544,73916,0,1,No
42-130-70420-08,"Fasken Oil and Ranch","Bass Ranch",4H,ECTOR,08,Oil & Gas,Producing,,,,,,,,21534,76237,1,1,No
42-317-20937-89,"Apache Corporation","South Texas Unit",37H,MIDLAND,08,Oil,Producing,,,,,,,,21398,25632,1,0,No
42-269-45286-71,"Centennial Resource Development","Hendrick",35H,LOVING,08,Oil,Producing,,,,,,,,21253,102543,0,0,No
42-269-76234-94,"Endeavor Energy Resources","TXL Ranch",23H,LOVING,08,Oil,Producing,,,,,,,,21209,27627,0,0,No
42-130-42293-12,"Occidental Petroleum","TXL Ranch",3H,ECTOR,08,Oil,Producing,,,,,,,,21151,28212,1,0,No
42-269-20718-69,"ExxonMobil","Loving County Ranch",37,LOVING,08,Oil,Producing,,,,,,,,21034,49015,1,0,No
42-269-27528-89,"SM Energy","Delaware Basin",42H,LOVING,08,Oil & Gas,Producing,,,,,,,,20951,92285,0,0,No
42-221-37302-30,"Surge Energy","Yates Pool",33H,HOWARD,08,Oil,Producing,,,,,,,,20926,90305,0,0,No
42-475-75378-50,"Surge Energy","Webb County Gas",19H,WARD,08,Oil & Gas,Producing,,,,,,,,20696,29172,0,0,No
42-371-61188-36,"Laredo Petroleum","Bass Ranch",26H,REEVES,08,Oil & Gas,Producing,,,,,,,,20403,35879,0,0,No
